Country,Region,CEI,GCI,NCSI,DDL,CEI_norm,GCI_norm,NCSI_norm,DDL_norm,Risk_Score,Risk_Category
Honduras,North America,0.603,2.2,22.08,35.09,0.44606741573033715,0.00861632032437912,0.2191983122362869,0.33212341197822143,0.25150136506730614,High Risk
Hungary,Europe,0.286,91.28,67.53,64.25,0.802247191011236,0.9116066903193107,0.6986286919831224,0.7392154125366466,0.7879244964625789,Low Risk
Iceland,Europe,0.348,79.81,55.84,78.64,0.7325842696629213,0.7953370501773949,0.5753164556962026,0.94010889292196,0.7608366671146196,Low Risk
India,Asia-Pasific,0.597,97.5,59.74,40.02,0.45280898876404496,0.974657881398885,0.6164556962025317,0.4009493229093955,0.6112179723187143,Medium Risk
Indonesia,Asia-Pasific,0.617,94.88,38.96,47.41,0.43033707865168536,0.9480993411049163,0.39725738396624477,0.504118386151054,0.5699530474684751,Medium Risk
Iran,Asia-Pasific,0.483,81.07,14.29,51.04,0.5808988764044944,0.8081094779523568,0.13702531645569618,0.5547954767555492,0.5202072868920242,Medium Risk
Iraq,Asia-Pasific,0.69,20.71,5.19,51.79,0.3483146067415731,0.19624936644703495,0.04103375527426161,0.5652659500209408,0.2877159196209526,High Risk
Ireland,Europe,0.255,85.86,75.32,75.18,0.8370786516853932,0.8566649771920932,0.7808016877637131,0.8918051095909535,0.8415876065580382,Low Risk
Israel,Asia-Pasific,0.297,90.93,67.53,75.5,0.7898876404494382,0.9080587937151546,0.6986286919831224,0.8962725115175205,0.8232119094163088,Low Risk
Italy,Europe,0.269,96.13,79.22,67.26,0.8213483146067415,0.9607704004054739,0.8219409282700423,0.7812369119084183,0.846324138797669,Low Risk
Jamaica,North America,0.483,32.53,41.56,48.18,0.5808988764044944,0.31606690319310693,0.4246835443037975,0.5148680720368559,0.4591293489845637,Medium Risk
Japan,Asia-Pasific,0.138,97.82,63.64,78.69,0.9685393258426966,0.9779016725798276,0.6575949367088608,0.9408069244729861,0.8862107149010927,Low Risk
Jordan,Asia-Pasific,0.586,70.96,28.57,54.07,0.4651685393258427,0.7056259503294475,0.28765822784810124,0.5970961887477313,0.5138872265627807,Medium Risk
Kazakhstan,Asia-Pasific,0.579,93.15,48.05,60.18,0.47303370786516863,0.9305625950329448,0.4931434599156118,0.6823956442831215,0.6447838517742117,Medium Risk
